_id,co_mun,no_mun,ano,variavel,social_categoria,social_subcategoria,valor
32,2700102,Água Branca,2014,Assistência Social,Bolsa Família,Famílias beneficiárias,3003.0
33,2700102,Água Branca,2014,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,8643479.0
34,2700102,Água Branca,2015,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,3010.6
35,2700102,Água Branca,2015,Assistência Social,Bolsa Família,Famílias beneficiárias,2850.0
36,2700102,Água Branca,2015,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,8697478.0
37,2700102,Água Branca,2016,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,3211.24
38,2700102,Água Branca,2016,Assistência Social,Bolsa Família,Famílias beneficiárias,2935.0
39,2700102,Água Branca,2016,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,9104546.0
40,2700102,Água Branca,2017,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,3443.1
41,2700102,Água Branca,2017,Assistência Social,Bolsa Família,Famílias beneficiárias,3054.0
42,2700102,Água Branca,2017,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,10249227.0
43,2700102,Água Branca,2018,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,3531.04
44,2700102,Água Branca,2018,Assistência Social,Bolsa Família,Famílias beneficiárias,2908.0
45,2700102,Água Branca,2018,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,10250665.0
46,2700102,Água Branca,2019,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,3585.17
47,2700102,Água Branca,2019,Assistência Social,Bolsa Família,Famílias beneficiárias,2838.0
48,2700102,Água Branca,2019,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,10237543.0
49,2700102,Água Branca,2020,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1219.0
50,2700102,Água Branca,2020,Assistência Social,Bolsa Família,Famílias beneficiárias,2969.0
51,2700102,Água Branca,2020,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,3479820.0
52,2700102,Água Branca,2021,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2390.69
53,2700102,Água Branca,2021,Assistência Social,Bolsa Família,Famílias beneficiárias,3007.0
54,2700102,Água Branca,2021,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,7153078.0
55,2700102,Água Branca,2023,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,3610.38
56,2700102,Água Branca,2023,Assistência Social,Bolsa Família,Famílias beneficiárias,3320.0
57,2700102,Água Branca,2023,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,11861376.0
58,2700201,Anadia,2004,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,913.47
59,2700201,Anadia,2004,Assistência Social,Bolsa Família,Famílias beneficiárias,1405.0
60,2700201,Anadia,2004,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,1056674.0
61,2700201,Anadia,2005,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,816.38
62,2700201,Anadia,2005,Assistência Social,Bolsa Família,Famílias beneficiárias,2189.0
63,2700201,Anadia,2005,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,1373016.0
64,2700201,Anadia,2006,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,759.4
65,2700201,Anadia,2006,Assistência Social,Bolsa Família,Famílias beneficiárias,2361.0
66,2700201,Anadia,2006,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,1762532.0
67,2700201,Anadia,2007,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,853.74
68,2700201,Anadia,2007,Assistência Social,Bolsa Família,Famílias beneficiárias,2678.0
69,2700201,Anadia,2007,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,2216921.0
70,2700201,Anadia,2008,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,982.04
71,2700201,Anadia,2008,Assistência Social,Bolsa Família,Famílias beneficiárias,2584.0
72,2700201,Anadia,2008,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,2548550.0
73,2700201,Anadia,2009,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1067.77
74,2700201,Anadia,2009,Assistência Social,Bolsa Família,Famílias beneficiárias,2722.0
75,2700201,Anadia,2009,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,2859667.0
76,2700201,Anadia,2010,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1159.51
77,2700201,Anadia,2010,Assistência Social,Bolsa Família,Famílias beneficiárias,2532.0
78,2700201,Anadia,2010,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,2877030.0
79,2700201,Anadia,2011,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1358.39
80,2700201,Anadia,2011,Assistência Social,Bolsa Família,Famílias beneficiárias,2672.0
81,2700201,Anadia,2011,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,3514785.0
82,2700201,Anadia,2012,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1500.07
83,2700201,Anadia,2012,Assistência Social,Bolsa Família,Famílias beneficiárias,2671.0
84,2700201,Anadia,2012,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,3956740.0
85,2700201,Anadia,2013,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1623.01
86,2700201,Anadia,2013,Assistência Social,Bolsa Família,Famílias beneficiárias,2839.0
87,2700201,Anadia,2013,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,4410424.0
88,2700201,Anadia,2014,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1745.44
89,2700201,Anadia,2014,Assistência Social,Bolsa Família,Famílias beneficiárias,2765.0
90,2700201,Anadia,2014,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,4877998.0
91,2700201,Anadia,2015,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1811.88
92,2700201,Anadia,2015,Assistência Social,Bolsa Família,Famílias beneficiárias,2758.0
93,2700201,Anadia,2015,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,4917395.0
94,2700201,Anadia,2016,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1885.86
95,2700201,Anadia,2016,Assistência Social,Bolsa Família,Famílias beneficiárias,2713.0
96,2700201,Anadia,2016,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,5066541.0
97,2700201,Anadia,2017,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1991.71
98,2700201,Anadia,2017,Assistência Social,Bolsa Família,Famílias beneficiárias,2774.0
99,2700201,Anadia,2017,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,5335961.0
100,2700201,Anadia,2018,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2002.43
101,2700201,Anadia,2018,Assistência Social,Bolsa Família,Famílias beneficiárias,2759.0
102,2700201,Anadia,2018,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,5517410.0
103,2700201,Anadia,2019,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2082.77
104,2700201,Anadia,2019,Assistência Social,Bolsa Família,Famílias beneficiárias,2605.0
105,2700201,Anadia,2019,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,5594619.0
106,2700201,Anadia,2020,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,647.24
107,2700201,Anadia,2020,Assistência Social,Bolsa Família,Famílias beneficiárias,2793.0
108,2700201,Anadia,2020,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,1693939.0
109,2700201,Anadia,2021,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,949.18
110,2700201,Anadia,2021,Assistência Social,Bolsa Família,Famílias beneficiárias,2793.0
111,2700201,Anadia,2021,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,2640830.0
112,2700201,Anadia,2023,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,3335.35
113,2700201,Anadia,2023,Assistência Social,Bolsa Família,Famílias beneficiárias,3508.0
114,2700201,Anadia,2023,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,11720505.0
115,2700300,Arapiraca,2004,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,880.57
116,2700300,Arapiraca,2004,Assistência Social,Bolsa Família,Famílias beneficiárias,12796.0
117,2700300,Arapiraca,2004,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,9204803.0
118,2700300,Arapiraca,2005,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,842.69
119,2700300,Arapiraca,2005,Assistência Social,Bolsa Família,Famílias beneficiárias,14732.0
120,2700300,Arapiraca,2005,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,11469162.0
121,2700300,Arapiraca,2006,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,767.29
122,2700300,Arapiraca,2006,Assistência Social,Bolsa Família,Famílias beneficiárias,22150.0
123,2700300,Arapiraca,2006,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,14916882.0
124,2700300,Arapiraca,2007,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,840.33
125,2700300,Arapiraca,2007,Assistência Social,Bolsa Família,Famílias beneficiárias,22106.0
126,2700300,Arapiraca,2007,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,18427510.0
127,2700300,Arapiraca,2008,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,987.84
128,2700300,Arapiraca,2008,Assistência Social,Bolsa Família,Famílias beneficiárias,19677.0
129,2700300,Arapiraca,2008,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,21172568.0
130,2700300,Arapiraca,2009,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1062.51
131,2700300,Arapiraca,2009,Assistência Social,Bolsa Família,Famílias beneficiárias,26762.0
132,2700300,Arapiraca,2009,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,27371240.0
133,2700300,Arapiraca,2010,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1147.44
134,2700300,Arapiraca,2010,Assistência Social,Bolsa Família,Famílias beneficiárias,26197.0
135,2700300,Arapiraca,2010,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,30232619.0
136,2700300,Arapiraca,2011,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1320.81
137,2700300,Arapiraca,2011,Assistência Social,Bolsa Família,Famílias beneficiárias,25138.0
138,2700300,Arapiraca,2011,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,33236447.0
139,2700300,Arapiraca,2012,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1504.45
140,2700300,Arapiraca,2012,Assistência Social,Bolsa Família,Famílias beneficiárias,24434.0
141,2700300,Arapiraca,2012,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,36676102.0
142,2700300,Arapiraca,2013,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1683.82
143,2700300,Arapiraca,2013,Assistência Social,Bolsa Família,Famílias beneficiárias,26023.0
144,2700300,Arapiraca,2013,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,40836316.0
145,2700300,Arapiraca,2014,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1752.43
146,2700300,Arapiraca,2014,Assistência Social,Bolsa Família,Famílias beneficiárias,24559.0
147,2700300,Arapiraca,2014,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,44112229.0
148,2700300,Arapiraca,2015,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1801.89
149,2700300,Arapiraca,2015,Assistência Social,Bolsa Família,Famílias beneficiárias,23946.0
150,2700300,Arapiraca,2015,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,43147535.0
151,2700300,Arapiraca,2016,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1881.43
152,2700300,Arapiraca,2016,Assistência Social,Bolsa Família,Famílias beneficiárias,22198.0
153,2700300,Arapiraca,2016,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,41975262.0
154,2700300,Arapiraca,2017,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2038.48
155,2700300,Arapiraca,2017,Assistência Social,Bolsa Família,Famílias beneficiárias,20461.0
156,2700300,Arapiraca,2017,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,42608515.0
157,2700300,Arapiraca,2018,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2127.62
158,2700300,Arapiraca,2018,Assistência Social,Bolsa Família,Famílias beneficiárias,20331.0
159,2700300,Arapiraca,2018,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,42777231.0
160,2700300,Arapiraca,2019,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2200.78
161,2700300,Arapiraca,2019,Assistência Social,Bolsa Família,Famílias beneficiárias,18110.0
162,2700300,Arapiraca,2019,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,41789747.0
163,2700300,Arapiraca,2020,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,646.78
164,2700300,Arapiraca,2020,Assistência Social,Bolsa Família,Famílias beneficiárias,19876.0
165,2700300,Arapiraca,2020,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,11865908.0
166,2700300,Arapiraca,2021,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,989.01
167,2700300,Arapiraca,2021,Assistência Social,Bolsa Família,Famílias beneficiárias,21365.0
168,2700300,Arapiraca,2021,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,20747032.0
169,2700300,Arapiraca,2023,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,3424.56
170,2700300,Arapiraca,2023,Assistência Social,Bolsa Família,Famílias beneficiárias,27529.0
171,2700300,Arapiraca,2023,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,94689292.0
172,2700409,Atalaia,2004,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,858.35
173,2700409,Atalaia,2004,Assistência Social,Bolsa Família,Famílias beneficiárias,2433.0
174,2700409,Atalaia,2004,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,1858936.0
175,2700409,Atalaia,2005,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,839.28
176,2700409,Atalaia,2005,Assistência Social,Bolsa Família,Famílias beneficiárias,2733.0
177,2700409,Atalaia,2005,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,2186306.0
178,2700409,Atalaia,2006,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,801.19
179,2700409,Atalaia,2006,Assistência Social,Bolsa Família,Famílias beneficiárias,4760.0
180,2700409,Atalaia,2006,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,3241326.0
181,2700409,Atalaia,2007,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,911.27
182,2700409,Atalaia,2007,Assistência Social,Bolsa Família,Famílias beneficiárias,5349.0
183,2700409,Atalaia,2007,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,4787876.0
184,2700409,Atalaia,2008,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1095.07
185,2700409,Atalaia,2008,Assistência Social,Bolsa Família,Famílias beneficiárias,5287.0
186,2700409,Atalaia,2008,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,5869309.0
187,2700409,Atalaia,2009,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1203.9
188,2700409,Atalaia,2009,Assistência Social,Bolsa Família,Famílias beneficiárias,6890.0
189,2700409,Atalaia,2009,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,7336459.0
190,2700409,Atalaia,2010,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1252.73
191,2700409,Atalaia,2010,Assistência Social,Bolsa Família,Famílias beneficiárias,7447.0
192,2700409,Atalaia,2010,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,9195619.0
193,2700409,Atalaia,2011,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1404.41
194,2700409,Atalaia,2011,Assistência Social,Bolsa Família,Famílias beneficiárias,7548.0
195,2700409,Atalaia,2011,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,10432353.0
196,2700409,Atalaia,2012,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1676.26
197,2700409,Atalaia,2012,Assistência Social,Bolsa Família,Famílias beneficiárias,8528.0
198,2700409,Atalaia,2012,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,13809566.0
199,2700409,Atalaia,2013,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2076.68
200,2700409,Atalaia,2013,Assistência Social,Bolsa Família,Famílias beneficiárias,7950.0
201,2700409,Atalaia,2013,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,16904316.0
202,2700409,Atalaia,2014,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2061.83
203,2700409,Atalaia,2014,Assistência Social,Bolsa Família,Famílias beneficiárias,7782.0
204,2700409,Atalaia,2014,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,16237736.0
205,2700409,Atalaia,2015,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1958.74
206,2700409,Atalaia,2015,Assistência Social,Bolsa Família,Famílias beneficiárias,7601.0
207,2700409,Atalaia,2015,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,14803906.0
208,2700409,Atalaia,2016,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2036.34
209,2700409,Atalaia,2016,Assistência Social,Bolsa Família,Famílias beneficiárias,7237.0
210,2700409,Atalaia,2016,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,15143104.0
211,2700409,Atalaia,2017,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2218.36
212,2700409,Atalaia,2017,Assistência Social,Bolsa Família,Famílias beneficiárias,7429.0
213,2700409,Atalaia,2017,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,15453012.0
214,2700409,Atalaia,2018,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2228.77
215,2700409,Atalaia,2018,Assistência Social,Bolsa Família,Famílias beneficiárias,7896.0
216,2700409,Atalaia,2018,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,17284349.0
217,2700409,Atalaia,2019,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2233.12
218,2700409,Atalaia,2019,Assistência Social,Bolsa Família,Famílias beneficiárias,7381.0
219,2700409,Atalaia,2019,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,16997867.0
220,2700409,Atalaia,2020,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,698.22
221,2700409,Atalaia,2020,Assistência Social,Bolsa Família,Famílias beneficiárias,7642.0
222,2700409,Atalaia,2020,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,5162869.0
223,2700409,Atalaia,2021,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1012.64
224,2700409,Atalaia,2021,Assistência Social,Bolsa Família,Famílias beneficiárias,7599.0
225,2700409,Atalaia,2021,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,7675051.0
226,2700409,Atalaia,2023,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,3452.47
227,2700409,Atalaia,2023,Assistência Social,Bolsa Família,Famílias beneficiárias,7721.0
228,2700409,Atalaia,2023,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,27029277.0
229,2700508,Barra de Santo Antônio,2004,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,751.74
230,2700508,Barra de Santo Antônio,2004,Assistência Social,Bolsa Família,Famílias beneficiárias,1264.0
231,2700508,Barra de Santo Antônio,2004,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,895111.0
232,2700508,Barra de Santo Antônio,2005,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,730.17
233,2700508,Barra de Santo Antônio,2005,Assistência Social,Bolsa Família,Famílias beneficiárias,1446.0
234,2700508,Barra de Santo Antônio,2005,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,955008.0
235,2700508,Barra de Santo Antônio,2006,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,734.78
236,2700508,Barra de Santo Antônio,2006,Assistência Social,Bolsa Família,Famílias beneficiárias,1652.0
237,2700508,Barra de Santo Antônio,2006,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,1173655.0
238,2700508,Barra de Santo Antônio,2007,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,852.6
239,2700508,Barra de Santo Antônio,2007,Assistência Social,Bolsa Família,Famílias beneficiárias,1574.0
240,2700508,Barra de Santo Antônio,2007,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,1337522.0
241,2700508,Barra de Santo Antônio,2008,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1043.2
242,2700508,Barra de Santo Antônio,2008,Assistência Social,Bolsa Família,Famílias beneficiárias,1514.0
243,2700508,Barra de Santo Antônio,2008,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,1590814.0
244,2700508,Barra de Santo Antônio,2009,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1128.06
245,2700508,Barra de Santo Antônio,2009,Assistência Social,Bolsa Família,Famílias beneficiárias,2442.0
246,2700508,Barra de Santo Antônio,2009,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,2135611.0
247,2700508,Barra de Santo Antônio,2010,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1181.4
248,2700508,Barra de Santo Antônio,2010,Assistência Social,Bolsa Família,Famílias beneficiárias,2219.0
249,2700508,Barra de Santo Antônio,2010,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,2728002.0
250,2700508,Barra de Santo Antônio,2011,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1420.93
251,2700508,Barra de Santo Antônio,2011,Assistência Social,Bolsa Família,Famílias beneficiárias,2264.0
252,2700508,Barra de Santo Antônio,2011,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,3120549.0
253,2700508,Barra de Santo Antônio,2012,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1588.23
254,2700508,Barra de Santo Antônio,2012,Assistência Social,Bolsa Família,Famílias beneficiárias,2635.0
255,2700508,Barra de Santo Antônio,2012,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,4000104.0
256,2700508,Barra de Santo Antônio,2013,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1752.72
257,2700508,Barra de Santo Antônio,2013,Assistência Social,Bolsa Família,Famílias beneficiárias,2513.0
258,2700508,Barra de Santo Antônio,2013,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,4422744.0
259,2700508,Barra de Santo Antônio,2014,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1999.09
